food_id,food_desc,WWEIA_desc,ingredient_desc,first_words,calorie,protein,carb,sugar,fiber,saturated_fat,cholesterol,sodium,calcium,phosphorus,potassium,iron,folic_acid,vitamin_c,vitamin_d,vitamin_b12,low_calorie,high_calorie,low_protein,high_protein,low_carb,high_carb,low_sugar,high_sugar,low_fiber,high_fiber,low_saturated_fat,high_saturated_fat,low_cholesterol,high_cholesterol,low_sodium,high_sodium,low_calcium,high_calcium,low_phosphorus,high_phosphorus,low_potassium,high_potassium,low_iron,high_iron,low_folic_acid,high_folic_acid,low_vitamin_c,high_vitamin_c,low_vitamin_d,high_vitamin_d,low_vitamin_b12,high_vitamin_b12,macro_carb,macro_phosphorus,macro_calorie,macro_potassium,macro_sodium,macro_cholesterol,macro_saturated_fat,macro_protein,macro_sugar,macro_fiber,macro_iron,macro_folic_acid,macro_vitamin_b12,macro_calcium,micro_vitamin_d,macro_vitamin_c,non_zero_nutrition_count
27150320,Fish curry,Seafood mixed dishes,"Shrimp, steamed or boiled",fish curry,90.0875948,5.470089456,6.218319625,2.064473742,1.433895958,1.69338329,17.44344656,307.7721499,28.23607488,90.41807673,261.9675373,0.760646659,0.0,7.866680141,0.127454248,0.334667933,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,7
27150325,Fish curry with rice,Seafood mixed dishes,Fish curry,fish curry with,106.7378098,4.029029155,15.14632163,1.580154123,0.993400957,0.810385806,13.60528041,315.6823704,18.97803297,68.11902068,176.7714472,0.856960607,21.79807229,5.146643797,0.047257929,0.188013525,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,7
28152050,"Fish in lemon-butter sauce with starch item, vegetable, frozen meal",Seafood mixed dishes,"Lemon juice from concentrate, canned or bottled",fish in lemonbutter,93.58974359,4.18974359,16.34871795,2.217307692,1.442307692,0.234358974,24.03846154,447.6923077,27.30769231,61.92307692,149.7435897,1.291666667,19.87179487,23.55769231,0.064102564,0.08974359,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,7
27150250,Fish moochim,Seafood mixed dishes,"Spices, pepper, black",fish moochim,334.2857143,37.80714286,10.52619048,8.566666667,0.238095238,2.350714286,81.9047619,4956.666667,127.8571429,590.952381,935.0,2.266666667,0.0,2.047619048,2.047619048,5.614285714,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,10
27350090,"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",Seafood mixed dishes,"Salt, table, iodized",fish noodles and,136.9790412,9.561557028,11.55006608,0.574236908,0.984449841,2.791089529,30.9987415,283.2865411,114.2283509,136.5409852,130.3939663,0.986984211,26.95827631,5.178573436,0.61649287,0.564566749,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,7
27250070,"Fish, salmon cake or patty",Seafood mixed dishes,"Fish, salmon, pink, raw",fish salmon cake,233.6168093,14.90464638,8.207471764,0.695512546,0.589793216,3.101730994,56.68753829,472.415262,150.0313632,242.0104655,294.5462429,0.803733604,2.974093914,2.138758624,6.428130816,2.321387955,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,10
27550405,"Fish sandwich, fried, on white bun, with cheese",Seafood sandwiches,"Rolls, hamburger or hotdog, plain",fish sandwich fried,254.3046358,15.32450331,22.77704194,3.033112583,0.794701987,4.388520971,41.94260486,494.0397351,188.9624724,240.1766004,217.6600442,1.664459161,26.49006623,0.485651214,0.618101545,1.130242826,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,10
27550200,"Fish sandwich, from school cafeteria",Seafood sandwiches,"Bread, whole-wheat, commercially prepared",fish sandwich from,224.4444444,14.61481481,29.51111111,2.933333333,3.555555556,0.905925926,22.96296296,411.1111111,108.8888889,226.6666667,277.037037,1.837037037,5.925925926,0.0,0.222222222,0.711111111,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,7
27550420,"Fish sandwich, grilled",Seafood sandwiches,"Rolls, hamburger or hotdog, plain",fish sandwich grilled,173.3653846,15.98782051,21.25432692,3.097275641,0.753205128,0.466987179,39.34294872,436.2820513,69.26282051,207.9487179,260.2083333,1.576762821,22.29166667,0.809294872,0.383012821,1.28525641,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,8
27550300,"Fish sandwich, NFS",Seafood sandwiches,"Fish sandwich, fried, from fast food, with cheese",fish sandwich nfs,254.3046358,15.30463576,22.74613687,3.028697572,0.794701987,4.382560706,41.7218543,543.7086093,188.7417219,239.9558499,217.218543,1.664459161,26.26931567,0.463576159,0.618101545,1.125827815,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,10
27450150,"Fish, tofu, and vegetables, tempura",Seafood mixed dishes,"Cauliflower, raw",fish tofu and,224.8600807,8.164346511,10.37060078,7.265091367,1.236920158,4.490663172,164.8011746,383.7605852,72.09788238,117.5582455,177.9473769,1.353813417,0.0,2.941983285,0.0,0.410120337,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,9
27150010,"Fish with cream or white sauce, not tuna or lobster",Seafood mixed dishes,"Fish, cod, Atlantic, cooked, dry heat",fish with cream,126.8210312,13.52905676,4.207001986,2.042085467,0.092037002,1.586695178,56.02650938,308.2550021,64.83703836,149.1195103,258.3945586,0.466051187,1.246684312,0.822488162,1.256494795,0.708365045,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,7
27150310,Fish with tomato-based sauce,Seafood mixed dishes,"Fish, cod, Atlantic, cooked, dry heat",fish with tomatobased,84.48304589,14.05852671,1.630118437,1.025868046,0.394982399,0.422361177,38.40337244,275.4192371,22.90373038,158.41085,272.1414967,0.627161697,0.0,3.794116709,1.564695993,0.815523502,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,8
